SerialNumber,ListYear,DateRecorded,Town,Address,AssessedValue,SaleAmount,SalesRatio
201,2020,09/13/2021,Ansonia,230 WAKELEE AVE,150500.00,325000.00,0.463
202,2020,10/02/2020,Ashford,390 TURNPIKE RD,253000.00,430000.00,0.5883
203,2020,03/09/2021,Avon,5 CHESTNUT DRIVE,130400.00,179900.00,0.7248
204,2020,04/13/2021,Avon,111 NORTHINGTON DRIVE,619290.00,890000.00,0.6958
205,2020,07/02/2021,Avon,70 FAR HILLS DRIVE,862330.00,1447500.00,0.5957
206,2020,12/09/2020,Avon,57 FAR HILLS DRIVE,847520.00,1250000.00,0.678
207,2020,03/01/2021,Berlin,1539 FARMINGTON AVE,234200.00,130000.00,1.8015
208,2020,07/01/2021,Berlin,216 WATCH HILL RD,412000.00,677500.00,0.6081
209,2020,06/04/2021,Bethany,23 AMITY RD,511000.00,795000.00,0.6427
210,2020,12/16/2020,Bethel,16 DEEPWOOD DRIVE,171360.00,335000.00,0.5115
211,2020,08/10/2021,Bethlehem,39 WOODLAND RD,168900.00,352000.00,0.4798
212,2020,09/13/2021,Bloomfield,9 SADDLE RIDGE,163730.00,250000.00,0.6549
213,2020,01/22/2021,Branford,34 SUNRISE COVE CAMP,530500.00,700000.00,0.7578
214,2020,09/28/2021,Branford,119 MONTOWESE ST,455100.00,650000.00,0.7001
215,2020,09/09/2021,Bristol,609 CAMP ST,144340.00,249900.00,0.5775
216,2020,10/08/2020,Bristol,9 LESLIE COURT,94920.00,155000.00,0.6123
217,2020,12/29/2020,Bristol,391 TIFFANY LA,173740.00,299000.00,0.581
218,2020,03/01/2021,Bristol,25 WARD ST,85680.00,183000.00,0.4681
219,2020,08/23/2021,Bristol,8 JENNINGS TERR,88060.00,91000.00,0.9676
20,2020,11/05/2020,Brookfield,4 CHELSEA CT,105110.00,160000.00,0.6569375
221,2020,02/22/2021,Brookfield,72 HOMESTEAD LN,94770.00,170000.00,0.5574
222,2020,05/19/2021,Canaan,93 MAIN ST,355800.00,599000.00,0.5939